id,firstName,lastName,commonName,name,rating
26353,Christy,Ucheibe,,Christy Ucheibe,72
26354,Amy,Muir,,Amy Muir,68
26356,James,Beadle,,James Beadle,70
26359,Warren,Davis,,Warren Davis,58
26360,Daniel,Barrea,,Daniel Barrea,68
26361,Morgan,Messner,,Morgan Messner,68
26363,John Arne,Riise,,John Arne Riise,86
26364,Thiago,Fernández,,Thiago Fernández,74
26365,Stephen,Afrifa,,Stephen Afrifa,59
26366,Tygo,Land,,Tygo Land,68
26367,Kevin,Radulović,,Kevin Radulović,55
26368,Dennis,Kaygin,,Dennis Kaygin,63
26370,Rafik,Belghali,,Rafik Belghali,66
26372,Ziyi,Tian,Tian Ziyi,Ziyi Tian,55
26374,Mathis,Hamdi,,Mathis Hamdi,58
26375,Fabricio,Iacovich,,Fabricio Iacovich,67
26376,Alara,Şehitler,,Alara Şehitler,73
26379,Stav,Lemkin,,Stav Lemkin,68
26380,Samuel,Omorodion Aghehowa,Samu,Samuel Omorodion Aghehowa,79
26382,Kauã Morais,Vieira dos Santos,Kauã Santos,Kauã Morais Vieira dos Santos,71
26383,Malik,Mothersille,,Malik Mothersille,65
26384,Jamie,Donley,,Jamie Donley,67
26385,Edson,Arantes Nascimento,Pelé,Edson Arantes Nascimento,95
26386,Diego Armando,Maradona,,Diego Armando Maradona,95
26387,Ronaldo Luís,Nazário de Lima,Ronaldo,Ronaldo Luís Nazário de Lima,94
26388,Ronaldo Luís,Nazário de Lima,Ronaldo,Ronaldo Luís Nazário de Lima,86
26389,Zinedine,Zidane,,Zinedine Zidane,94
26390,Ronaldo,de Assis Moreira,Ronaldinho,Ronaldo de Assis Moreira,93
26391,Mia,Hamm,,Mia Hamm,93
26392,Johan,Cruyff,,Johan Cruyff,93
26393,Andrés,Iniesta Luján,Iniesta,Andrés Iniesta Luján,92
26394,Andrés,Iniesta Luján,Iniesta,Andrés Iniesta Luján,86
26395,Birgit,Prinz,,Birgit Prinz,92
26396,Ferenc,Puskás,,Ferenc Puskás,92
26397,Manuel,Franc. dos Santos,Garrincha,Manuel Franc. dos Santos,92
26398,Manuel,Franc. dos Santos,Garrincha,Manuel Franc. dos Santos,70
26399,Paolo,Maldini,,Paolo Maldini,92
26400,Lev,Yashin,,Lev Yashin,92
26401,Lev,Yashin,,Lev Yashin,72
26402,Bobby,Charlton,,Bobby Charlton,92
26403,Bobby,Charlton,,Bobby Charlton,74
26404,Nadine,Angerer,,Nadine Angerer,92
26405,Gerd,Müller,,Gerd Müller,92
26406,Franz,Beckenbauer,,Franz Beckenbauer,92
26407,Erling,Haaland,,Erling Haaland,91
26408,Erling,Haaland,,Erling Haaland,90
26409,Marcos,de Morais,Cafu,Marcos de Morais,91
26410,Oliver,Kahn,,Oliver Kahn,91
26411,Oliver,Kahn,,Oliver Kahn,86
26412,Zlatan,Ibrahimović,,Zlatan Ibrahimović,91
26413,Zlatan,Ibrahimović,,Zlatan Ibrahimović,86
26414,Eusébio,da Silva Ferreira,Eusébio,Eusébio da Silva Ferreira,91
26415,Eusébio,da Silva Ferreira,Eusébio,Eusébio da Silva Ferreira,73
26416,Aitana,Bonmatí Conca,Aitana Bonmatí,Aitana Bonmatí Conca,91
26417,Kylian,Mbappé,,Kylian Mbappé,91
26418,Alexia,Putellas Segura,Alexia Putellas,Alexia Putellas Segura,91
26419,Homare,Sawa,,Homare Sawa,91
26420,Alex,Morgan,,Alex Morgan,91
26421,Alex,Morgan,,Alex Morgan,86
26422,Mohamed,Salah,,Mohamed Salah,91
26423,Marco,van Basten,,Marco van Basten,91
26424,Carlos Alberto,Torres,Carlos Alberto,Carlos Alberto Torres,91
26425,Franco,Baresi,,Franco Baresi,91
26426,Arthur,Antunes Coimbra,Zico,Arthur Antunes Coimbra,91
26427,Thierry,Henry,,Thierry Henry,91
26428,Thierry,Henry,,Thierry Henry,86
26429,Gianluigi,Buffon,,Gianluigi Buffon,91
26430,Roberto,Baggio,,Roberto Baggio,91
26431,Xavier,Hernández Creus,Xavi,Xavier Hernández Creus,91
26432,Andrea,Pirlo,,Andrea Pirlo,90
26433,Julie,Foudy,,Julie Foudy,90
26434,Iker,Casillas Fernández,Casillas,Iker Casillas Fernández,90
26435,Harry,Kane,,Harry Kane,90
26436,Harry,Kane,,Harry Kane,89
26437,Raúl,González Blanco,Raúl,Raúl González Blanco,90
26438,Rivaldo Vítor,Borba Ferreira,Rivaldo,Rivaldo Vítor Borba Ferreira,90
26439,Jude,Bellingham,,Jude Bellingham,90
26440,Lothar,Matthäus,,Lothar Matthäus,90
26441,Roberto Carlos,da Silva Rocha,Roberto Carlos,Roberto Carlos da Silva Rocha,90
26442,Dennis,Bergkamp,,Dennis Bergkamp,90
26443,Alessandro,Del Piero,,Alessandro Del Piero,90
26444,Rodrigo,Hernández Cascante,Rodri,Rodrigo Hernández Cascante,90
26445,Ousmane,Dembélé,,Ousmane Dembélé,90
26446,Camille,Abily,,Camille Abily,90
26447,Caroline,Graham Hansen,,Caroline Graham Hansen,90
26448,Aya,Miyama,,Aya Miyama,90
26449,Caroline,Seger,,Caroline Seger,90
26450,Caroline,Seger,,Caroline Seger,86
26451,George,Best,,George Best,90
26452,Lotta,Schelin,,Lotta Schelin,90
26453,Ruud,Gullit,,Ruud Gullit,90
26454,Virgil,van Dijk,,Virgil van Dijk,90
26455,Bobby,Moore,,Bobby Moore,90
26456,Bobby,Moore,,Bobby Moore,74
26457,Toni,Kroos,,Toni Kroos,90
26458,Toni,Kroos,,Toni Kroos,86
26459,Samuel,Eto'o,,Samuel Eto'o,89
26460,Steffi,Jones,,Steffi Jones,89
26461,Steffi,Jones,,Steffi Jones,85
26462,Fernando,Morientes Sánchez,Fernando Morientes,Fernando Morientes Sánchez,89
26463,Luís Filipe,Madeira Caeiro Figo,Luís Figo,Luís Filipe Madeira Caeiro Figo,89
26464,Alan,Shearer,,Alan Shearer,89
26465,Gianluigi,Donnarumma,,Gianluigi Donnarumma,89
26466,Gianluigi,Donnarumma,,Gianluigi Donnarumma,89
26467,Hristo,Stoichkov,,Hristo Stoichkov,89
26468,Didier,Drogba,,Didier Drogba,89
26469,Lamine Yamal,Nasraoui Ebana,Lamine Yamal,Lamine Yamal Nasraoui Ebana,89
26470,Jair,Ventura Filho,Jairzinho,Jair Ventura Filho,89
26471,Lucimar,da Silva Ferreira,Lúcio,Lucimar da Silva Ferreira,89
26472,Jürgen,Kohler,,Jürgen Kohler,89
26473,Alessia,Russo,,Alessia Russo,89
26474,Florian,Wirtz,,Florian Wirtz,89
26475,Vítor,Machado Ferreira,Vitinha,Vítor Machado Ferreira,89
26476,Pedro,González López,Pedri,Pedro González López,89
